date,trades,win_rate,total_pnl,avg_pnl
20251002,153,0.5032679738562091,-61.760000000000005,-0.4036601307189543
20251003,181,0.46408839779005523,42.73,0.23607734806629832
20251006,134,0.44776119402985076,-156.28,-1.166268656716418
20251007,224,0.45089285714285715,-26.580000000000013,-0.11866071428571434
20251008,151,0.5298013245033113,95.33,0.6313245033112582
20251009,205,0.3951219512195122,-222.35,-1.0846341463414635
20251010,229,0.4847161572052402,-134.93,-0.5892139737991267
20251013,226,0.415929203539823,-354.9200000000001,-1.5704424778761066
20251014,205,0.4146341463414634,-209.85000000000005,-1.023658536585366
20251015,216,0.44907407407407407,-144.47000000000006,-0.6688425925925928
